pr_id,repo,author_type,agent,language,change_type,commits,additions,deletions,files_changed,description_length,lexical_similarity,semantic_similarity,review_time_hours,nn_layers_modified,test_coverage_delta,net_lines
1,credit-card-fraud-ml,AI,OpenAI Codex,Python,bug_fix,2,61,15,3,127,0.617,0.8876,66.12,2,7.27,46
2,antifraud-ensemble,Human,Human,SQL,feature_engineering,8,62,27,4,62,0.6394,0.3912,9.96,0,-2.3,35
3,fraud-detector-nn,Human,Human,Python,refactor,5,21,19,7,78,0.2926,0.4246,20.53,2,4.74,2
4,deepfraud-pytorch,Human,Human,Python,documentation,5,60,129,3,80,0.382,0.295,10.51,3,2.77,-69
5,antifraud-ensemble,AI,GitHub Copilot,R,feature_engineering,1,113,29,1,140,0.8324,0.7018,36.83,3,5.38,84
6,transaction-anomaly-detection,AI,GitHub Copilot,Python,model_architecture,4,64,40,4,143,0.71,0.6704,10.82,3,4.55,24
7,deepfraud-pytorch,AI,GitHub Copilot,YAML,test_suite,2,92,101,3,119,0.3068,0.8929,9.91,3,7.38,-9
8,xgboost-fraud-pipeline,Human,Human,Python,hyperparameter_tuning,2,2334,154,11,73,0.5028,0.4528,25.69,1,-6.79,2180
9,antifraud-ensemble,Human,Human,SQL,model_architecture,5,169,110,4,63,0.5159,0.6131,21.8,1,-9.63,59
10,deepfraud-pytorch,Human,Human,Python,hyperparameter_tuning,5,160,332,2,79,0.4679,0.556,55.86,1,7.13,-172
11,fraud-detector-nn,AI,GitHub Copilot,Python,feature_engineering,1,165,43,3,131,0.619,0.727,14.18,1,4.53,122
12,credit-card-fraud-ml,Human,Human,R,data_pipeline,6,75,22,6,90,0.2048,0.5284,97.98,1,0.74,53
13,credit-card-fraud-ml,Human,Human,SQL,feature_engineering,10,68,34,9,71,0.4563,0.1928,18.16,1,2.24,34
14,antifraud-ensemble,AI,Devin,Python,hyperparameter_tuning,3,83,62,4,135,0.4711,0.7482,4.73,2,3.85,21
15,credit-card-fraud-ml,AI,Devin,Shell,model_architecture,2,47,26,2,123,0.3326,0.9628,10.29,4,3.44,21
16,fraud-detector-nn,AI,Devin,Python,documentation,5,32,8,1,136,0.697,0.4396,12.97,2,-4.18,24
17,xgboost-fraud-pipeline,AI,OpenAI Codex,Python,refactor,2,59,4,1,131,0.3939,0.8307,8.17,3,-0.29,55
18,deepfraud-pytorch,AI,Claude Code,Python,hyperparameter_tuning,3,483,60,1,137,0.4638,0.8678,2.73,6,-5.39,423
19,autoencoder-fraud,AI,OpenAI Codex,YAML,hyperparameter_tuning,3,76,42,2,121,0.6883,0.931,4.02,3,0.8,34
20,credit-card-fraud-ml,AI,Devin,Python,feature_engineering,1,14,48,2,134,0.6078,0.7384,16.27,0,1.83,-34
